ilan_no;kategori;fiyat;oda_sayisi;m2;bulundugu_kat;bina_yasi;isinma_tipi;tapu_durumu;banyo_sayisi;kat_sayisi;krediye_uygun;esya_durumu;firma_adi;ilan_tarihi;ilce;mahalle;url
136366-1081;Kiralık;25000;2 +                              1;90;6. Kat;13;Kombi (Doğalgaz);Kat Mülkiyeti;1;12 Katlı;Evet;Boş;Evka Gayrimenkul;2026/05/11;Etimesgut;Atayurt Mah.;https://www.hepsiemlak.com/ankara-etimesgut-atayurt-kiralik/daire/136366-1081
158970-35;Kiralık;60000;4 +                              1;180;8. Kat;5;Kombi (Doğalgaz);Kat Mülkiyeti;1;10 Katlı;Evet;Boş;-;2026/05/11;Yenimahalle;Yeni Batı Mah.;https://www.hepsiemlak.com/ankara-yenimahalle-yeni-bati-kiralik/daire/158970-35
16602-1904;Kiralık;45000;3 +                              1;124;En Üst Kat;45;Kombi (Doğalgaz);Kat Mülkiyeti;1;4 Katlı;Evet;Boş;Sweet Home Real Estate Agency;2026/05/11;Çankaya;Barbaros Mah.;https://www.hepsiemlak.com/ankara-cankaya-barbaros-kiralik/daire/16602-1904
16602-1913;Kiralık;60000;3 +                              1;145;1. Kat;35;Kombi (Doğalgaz);Kat Mülkiyeti;1;4 Katlı;Evet;Boş;Sweet Home Real Estate Agency;2026/05/11;Çankaya;Güvenevler Mah.;https://www.hepsiemlak.com/ankara-cankaya-guvenevler-kiralik/daire/16602-1913
8450-1888;Kiralık;42000;2 +                              1;75;Yüksek Giriş;Sıfır Bina;Kombi (Doğalgaz);Kat Mülkiyeti;1;3 Katlı;Evet;Boş;Myf Emlak;2026/05/11;Çankaya;Bahçelievler Mah.;https://www.hepsiemlak.com/ankara-cankaya-bahcelievler-kiralik/daire/8450-1888
53451-1801;Kiralık;27000;2 +                              1;85;Giriş Katı;25;Kombi (Doğalgaz);Kat Mülkiyeti;1;2 Katlı;Evet;Boş;Yenimahalle Ada Emlak;2026/05/08;Yenimahalle;Çarşı Mah.;https://www.hepsiemlak.com/ankara-yenimahalle-carsi-kiralik/daire/53451-1801
14347-1536;Kiralık;28000;2 +                              1;80;Giriş Katı;30;Kombi (Doğalgaz);Kat Mülkiyeti;1;4 Katlı;Evet;Boş;Çiçek Emlak;2026/05/06;Çankaya;Emek Mah.;https://www.hepsiemlak.com/ankara-cankaya-emek-kiralik/daire/14347-1536
14347-1529;Kiralık;45000;2 +                              1;75;Kot 1;2;Kombi (Doğalgaz);Kat Mülkiyeti;1;4 Katlı;Evet;Boş;Çiçek Emlak;2026/05/09;Çankaya;Emek Mah.;https://www.hepsiemlak.com/ankara-cankaya-emek-kiralik/daire/14347-1529
1170-7441;Kiralık;35000;2 +                              1;85;Kot 1;15;Kombi (Doğalgaz);Kat Mülkiyeti;1;4 Katlı;Evet;Boş;Ader Gayrimenkul;2026/05/11;Çankaya;Emek Mah.;https://www.hepsiemlak.com/ankara-cankaya-emek-kiralik/daire/1170-7441
1170-7442;Kiralık;27500;2 +                              1;85;2. Kat;40;Kombi (Doğalgaz);Kat Mülkiyeti;1;3 Katlı;Evet;Boş;Ader Gayrimenkul;2026/05/06;Çankaya;Yücetepe Mah.;https://www.hepsiemlak.com/ankara-cankaya-yucetepe-kiralik/daire/1170-7442
52609-408;Kiralık;40000;4 +                              1;145;Yüksek Giriş;45;Kombi (Doğalgaz);Kat Mülkiyeti;1;3 Katlı;Evet;Boş;Kule Gayrimenkul;2026/05/09;Çankaya;Güzeltepe Mah.;https://www.hepsiemlak.com/ankara-cankaya-guzeltepe-kiralik/daire/52609-408
121272-1150;Kiralık;37000;5 +                              1;170;En Üst Kat;30;Kombi (Doğalgaz);Kat Mülkiyeti;1;4 Katlı;Evet;Boş;Anadolu Emlak;2026/05/03;Altındağ;Aydınlıkevler Mah.;https://www.hepsiemlak.com/ankara-altindag-aydinlikevler-kiralik/daire/121272-1150
168984-4;Kiralık;23500;3 +                              1;135;Yüksek Giriş;11;Kombi (Doğalgaz);Kat Mülkiyeti;1;3 Katlı;Evet;Boş;-;2026/05/09;Keçiören;Ayvalı Mah.;https://www.hepsiemlak.com/ankara-kecioren-ayvali-kiralik/daire/168984-4
4094-1553;Kiralık;65500;3 +                              1;150;Çatı Katı;Sıfır Bina;Kombi (Doğalgaz);Kat Mülkiyeti;1;3 Katlı;Evet;Boş;Yalnızgül Emlak;2026/05/09;Çankaya;Bahçelievler Mah.;https://www.hepsiemlak.com/ankara-cankaya-bahcelievler-kiralik/daire/4094-1553
4094-1551;Kiralık;68000;4 +                              1;190;Ara Kat;20;Kombi (Doğalgaz);Kat Mülkiyeti;1;3 Katlı;Evet;Boş;Yalnızgül Emlak;2026/05/09;Çankaya;Bahçelievler Mah.;https://www.hepsiemlak.com/ankara-cankaya-bahcelievler-kiralik/daire/4094-1551
159186-31;Kiralık;25000;3 +                              1;105;En Üst Kat;25;Kombi (Doğalgaz);Kat Mülkiyeti;1;3 Katlı;Evet;Boş;Türksoy Gayrimenkul;2026/05/07;Mamak;Abidinpaşa Mah.;https://www.hepsiemlak.com/ankara-mamak-abidinpasa-kiralik/daire/159186-31
4077-2359;Kiralık;35500;1 +                              1;40;3. Kat;Sıfır Bina;Kombi (Doğalgaz);Kat Mülkiyeti;1;3 Katlı;Evet;Boş;-;2026/05/09;Çankaya;Konutkent Mah.;https://www.hepsiemlak.com/ankara-cankaya-konutkent-kiralik/daire/4077-2359
1248-2592;Kiralık;29000;1 +                              1;60;Yarı Bodrum;6;Kombi (Doğalgaz);Kat Mülkiyeti;1;6 Katlı;Evet;Boş;Karan Gayrimenkul;2026/05/09;Çankaya;Büyükesat Mah.;https://www.hepsiemlak.com/ankara-cankaya-buyukesat-kiralik/daire/1248-2592
