ilan_no;kategori;fiyat;oda_sayisi;m2;bulundugu_kat;bina_yasi;isinma_tipi;tapu_durumu;banyo_sayisi;kat_sayisi;krediye_uygun;esya_durumu;firma_adi;ilan_tarihi;ilce;mahalle;url
47587-1108;Kiralık;70000;3 +                              1;135;5. Kat;35;Kombi (Doğalgaz);Kat Mülkiyeti;1;8 Katlı;Evet;Boş;Veta Emlak Danışmanlık Pazarlama;2026/05/11;Çankaya;Oran Mah.;https://www.hepsiemlak.com/ankara-cankaya-oran-kiralik/daire/47587-1108
122845-3923;Kiralık;30000;2 +                              1;80;Yarı Bodrum;31;Kombi (Doğalgaz);Kat Mülkiyeti;1;3 Katlı;Evet;Boş;Cemax Emlak Merkez;2026/05/11;Mamak;Balkiraz Mah.;https://www.hepsiemlak.com/ankara-mamak-balkiraz-kiralik/daire/122845-3923
37640-14220;Kiralık;22000;3 +                              1;110;3. Kat;18;Kombi (Doğalgaz);Kat Mülkiyeti;1;3 Katlı;Evet;Boş;Ankara Gayrimenkul;2026/05/11;Etimesgut;Elvan Mah.;https://www.hepsiemlak.com/ankara-etimesgut-elvan-kiralik/daire/37640-14220
88053-6568;Kiralık;65000;4 +                              1;200;9. Kat;6;Kombi (Doğalgaz);Kat Mülkiyeti;1;10 Katlı;Evet;Boş;Arel Emlak;2026/05/11;Etimesgut;Yeni Bağlıca Mah.;https://www.hepsiemlak.com/ankara-etimesgut-yeni-baglica-kiralik/daire/88053-6568
3920-12136;Kiralık;71000;2 +                              1;130;21 ve üzeri;21;Kombi (Doğalgaz);Kat Mülkiyeti;1;25 Katlı;Evet;Boş;Remax Tower;2026/05/11;Çankaya;İşçi Blokları Mah.;https://www.hepsiemlak.com/ankara-cankaya-isci-bloklari-kiralik/residence/3920-12136
118398-1023;Kiralık;39500;2 +                              1;78;6. Kat;Sıfır Bina;Kombi (Doğalgaz);Kat Mülkiyeti;1;7 Katlı;Evet;Boş;Aganta Gayrimenkul;2026/05/11;Yenimahalle;İnönü Mah.;https://www.hepsiemlak.com/ankara-yenimahalle-inonu-kiralik/daire/118398-1023
129045-634;Kiralık;27000;1 +                              1;65;5. Kat;5;Kombi (Doğalgaz);Kat Mülkiyeti;1;14 Katlı;Evet;Boş;Coldwell Banker Erva;2026/05/11;Çankaya;Alacaatlı Mah.;https://www.hepsiemlak.com/ankara-cankaya-alacaatli-kiralik/daire/129045-634
6175-1198;Kiralık;19000;2 +                              1;90;Giriş Katı;35;Kombi (Doğalgaz);Kat Mülkiyeti;1;3 Katlı;Evet;Boş;Bizim Emlak;2026/05/11;Keçiören;Aşağı Eğlence Mah.;https://www.hepsiemlak.com/ankara-kecioren-asagi-eglence-kiralik/daire/6175-1198
79831-1680;Kiralık;36500;2 +                              1;90;2. Kat;Sıfır Bina;Kombi (Doğalgaz);Kat Mülkiyeti;1;4 Katlı;Evet;Boş;-;2026/05/11;Sincan;Gökçek Mah.;https://www.hepsiemlak.com/ankara-sincan-gokcek-kiralik/daire/79831-1680
102593-1182;Kiralık;49000;1 +                              1;45;1. Kat;Sıfır Bina;Kombi (Doğalgaz);Kat Mülkiyeti;1;3 Katlı;Evet;Boş;-;2026/05/11;Çankaya;Mebusevleri Mah.;https://www.hepsiemlak.com/ankara-cankaya-mebusevleri-kiralik/daire/102593-1182
4209-2528;Kiralık;38000;2 +                              1;65;Zemin;6;Kombi (Doğalgaz);Kat Mülkiyeti;1;5 Katlı;Evet;Boş;Özdemir Emlak;2026/05/11;Çankaya;Emek Mah.;https://www.hepsiemlak.com/ankara-cankaya-emek-kiralik/daire/4209-2528
40002-6954;Kiralık;67000;4 +                              1;178;1. Kat;7;Kombi (Doğalgaz);Kat Mülkiyeti;1;11 Katlı;Evet;Boş;Remax Deniz;2026/05/11;Çankaya;Keklik Pınarı Mah.;https://www.hepsiemlak.com/ankara-cankaya-keklik-pinari-kiralik/daire/40002-6954
110538-4134;Kiralık;22000;3 +                              1;140;1. Kat;18;Kombi (Doğalgaz);Kat Mülkiyeti;1;2 Katlı;Evet;Boş;Remax Note;2026/05/11;Altındağ;Karapürçek Mah.;https://www.hepsiemlak.com/ankara-altindag-karapurcek-kiralik/daire/110538-4134
90000-1029;Kiralık;79500;4 +                              1;300;Bahçe Katı;16;Kombi (Doğalgaz);Kat Mülkiyeti;1;2 Katlı;Evet;Boş;Coldwell Banker Evo;2026/05/11;Çankaya;Çayyolu Mah.;https://www.hepsiemlak.com/ankara-cankaya-cayyolu-kiralik/villa/90000-1029
5554-5140;Kiralık;32500;3 +                              1;110;Yüksek Giriş;35;Kombi (Doğalgaz);Kat Mülkiyeti;1;5 Katlı;Evet;Boş;Usta Emlak Müşavirliği;2026/05/11;Çankaya;İşçi Blokları Mah.;https://www.hepsiemlak.com/ankara-cankaya-isci-bloklari-kiralik/daire/5554-5140
158193-392;Kiralık;24000;1 +                              1;48;1. Kat;Sıfır Bina;Kombi (Doğalgaz);Kat Mülkiyeti;1;2 Katlı;Evet;Boş;Alaçatı Proje Evora Invest;2026/05/11;Gölbaşı;Taşpınar Mah.;https://www.hepsiemlak.com/ankara-golbasi-taspinar-kiralik/daire/158193-392
6792-5019;Kiralık;31000;1 +                              1;45;Kot 2;4;Kombi (Doğalgaz);Kat Mülkiyeti;1;3 Katlı;Evet;Boş;Ulusoy Emlak;2026/05/11;Çankaya;Emek Mah.;https://www.hepsiemlak.com/ankara-cankaya-emek-kiralik/daire/6792-5019
7000-4850;Kiralık;40500;3 +                              1;135;3. Kat;16;Kombi (Doğalgaz);Kat Mülkiyeti;1;9 Katlı;Evet;Boş;Batıkent Emlak;2026/05/11;Yenimahalle;Kardelen Mah.;https://www.hepsiemlak.com/ankara-yenimahalle-kardelen-kiralik/daire/7000-4850
130641-1453;Kiralık;17000;1 +                              1;65;1. Kat;Sıfır Bina;Kombi (Doğalgaz);Kat Mülkiyeti;1;2 Katlı;Evet;Boş;Şimşek Emlak;2026/05/11;Çubuk;Esenboğa Merkez Mah.;https://www.hepsiemlak.com/ankara-cubuk-esenboga-merkez-kiralik/daire/130641-1453
5235-10258;Kiralık;20000;3 +                              1;110;Kot 2;25;Kombi (Doğalgaz);Kat Mülkiyeti;1;2 Katlı;Evet;Boş;Güven Gayrimenkul;2026/05/11;Çankaya;Osman Temiz Mah.;https://www.hepsiemlak.com/ankara-cankaya-osman-temiz-kiralik/daire/5235-10258
166162-54;Kiralık;27000;3 +                              1;138;2. Kat;5;Kombi (Doğalgaz);Kat Mülkiyeti;1;3 Katlı;Evet;Boş;-;2026/05/11;Sincan;Fevzi Çakmak Mah.;https://www.hepsiemlak.com/ankara-sincan-fevzi-cakmak-kiralik/daire/166162-54
